Source File Name:	testeSEMmag
Point Index:	1	[x = 0.0321152	y = 0.0231113	z = -1.23]
Component:	Root
Signal:	Time - Vib Velocity - Samples

Time	Time Signal
[ s ]	[ m/s ]
0.0527	0.1116927
0.0528	0.06776763
0.0529	0.02192576
0.053	-0.01445185
0.0531	-0.04440572
0.0532	-0.07121366
0.0533	-0.1056308
0.0534	-0.137749
0.0535	-0.1676245
0.0536	-0.2002351
0.0537	-0.2386071
0.0538	-0.2798635
0.0539	-0.3092292
0.054	-0.3313163
0.0541	-0.3482646
0.0542	-0.3656558
0.0543	-0.3743463
0.0544	-0.3735621
0.0545	-0.3756756
0.0546	-0.3831109
0.0547	-0.3953498
0.0548	-0.3972438
0.0549	-0.3965047
0.055	-0.3956071
0.0551	-0.3934745
0.0552	-0.3806626
0.0553	-0.352825
0.0554	-0.3248882
0.0555	-0.2975247
0.0556	-0.2711871
0.0557	-0.2364695
0.0558	-0.2046213
0.0559	-0.1769759
0.056	-0.1470633
0.0561	-0.1085863
0.0562	-0.06226349
0.0563	-0.02032563
0.0564	0.02501596
0.0565	0.07321465
0.0566	0.1255447
0.0567	0.1672512
0.0568	0.1985608
0.0569	0.2279167
0.057	0.2583923
0.0571	0.2861596
0.0572	0.3045027
0.0573	0.3268645
0.0574	0.352291
0.0575	0.3790565
0.0576	0.3952304
0.0577	0.4049505
0.0578	0.4140569
0.0579	0.4185663
0.058	0.4159998
0.0581	0.4021833
0.0582	0.391197
0.0583	0.38187
0.0584	0.3725048
0.0585	0.3590556
0.0586	0.3449917
0.0587	0.33441
0.0588	0.3180975
0.0589	0.2935437
0.059	0.2589782
0.0591	0.2254621
0.0592	0.1912993
0.0593	0.1515254
0.0594	0.1079172
0.0595	0.06731153
0.0596	0.03782445
0.0597	0.008167485
0.0598	-0.02458514
0.0599	-0.06047013
0.06	-0.09266256
0.0601	-0.1243811
0.0602	-0.1635213
0.0603	-0.2065268
0.0604	-0.2462408
0.0605	-0.2746926
0.0606	-0.3005182
0.0607	-0.3250695
0.0608	-0.3449248
0.0609	-0.3552837
0.061	-0.3601943
0.0611	-0.3698691
0.0612	-0.3808835
0.0613	-0.3913879
0.0614	-0.3970108
0.0615	-0.4038669
0.0616	-0.4093602
0.0617	-0.406132
0.0618	-0.3923112
0.0619	-0.3720281
0.062	-0.3533438
0.0621	-0.3293582
0.0622	-0.3002461
0.0623	-0.2689039
0.0624	-0.2448052
0.0625	-0.2232967
