Source File Name:	essevaiMAG
Point Index:	1	[x = 0.0321152	y = 0.0231113	z = -1.23]
Component:	Root
Signal:	Time - Ref1 Force - Samples

Time	Time Signal
[ s ]	[ N ]
0.0508	-0.2566931
0.0509	-0.2561404
0.051	-0.2558286
0.0511	-0.2555172
0.0512	-0.2550242
0.0513	-0.2557196
0.0514	-0.2560863
0.0515	-0.2562775
0.0516	-0.2563045
0.0517	-0.2564338
0.0518	-0.2562114
0.0519	-0.2566932
0.052	-0.2564872
0.0521	-0.2563469
0.0522	-0.2569703
0.0523	-0.2559507
0.0524	-0.2559208
0.0525	-0.256406
0.0526	-0.2563936
0.0527	-0.2562646
0.0528	-0.2567002
0.0529	-0.2557583
0.053	-0.256778
0.0531	-0.2564124
0.0532	-0.2562452
0.0533	-0.256099
0.0534	-0.255459
0.0535	-0.2553281
0.0536	-0.2556354
0.0537	-0.2557252
0.0538	-0.2551731
0.0539	-0.2560467
0.054	-0.2562802
0.0541	-0.2569013
0.0542	-0.2563564
0.0543	-0.2556001
0.0544	-0.2562439
0.0545	-0.2553304
0.0546	-0.2554865
0.0547	-0.2554806
0.0548	-0.2543942
0.0549	-0.2539311
0.055	-0.2543296
0.0551	-0.2545833
0.0552	-0.2549151
0.0553	-0.2548009
0.0554	-0.2554192
0.0555	-0.255891
0.0556	-0.2555923
0.0557	-0.2559805
0.0558	-0.2551628
0.0559	-0.2556936
0.056	-0.2554868
0.0561	-0.2551961
0.0562	-0.2551933
0.0563	-0.2550452
0.0564	-0.2547946
0.0565	-0.254597
0.0566	-0.2546224
0.0567	-0.2544223
0.0568	-0.254404
0.0569	-0.2540586
0.057	-0.2539418
0.0571	-0.2544307
0.0572	-0.2541862
0.0573	-0.2551982
0.0574	-0.2559418
0.0575	-0.2553089
0.0576	-0.2544033
0.0577	-0.2541464
0.0578	-0.2530639
0.0579	-0.2535141
0.058	-0.2534975
0.0581	-0.2532205
0.0582	-0.2534395
0.0583	-0.2539168
0.0584	-0.2544813
0.0585	-0.2542532
0.0586	-0.2537389
0.0587	-0.2537802
0.0588	-0.2536761
0.0589	-0.2531544
0.059	-0.2523975
0.0591	-0.252821
0.0592	-0.2532872
0.0593	-0.253195
0.0594	-0.2528916
0.0595	-0.2528777
0.0596	-0.2530114
0.0597	-0.2528859
0.0598	-0.252766
0.0599	-0.252242
0.06	-0.2527619
0.0601	-0.2524566
0.0602	-0.2524182
0.0603	-0.2526201
0.0604	-0.2524708
