Source File Name:	essevaiMAG
Point Index:	1	[x = 0.0321152	y = 0.0231113	z = -1.23]
Component:	Root
Signal:	Time - Vib Velocity - Samples

Time	Time Signal
[ s ]	[ m/s ]
0.0405	-0.07531639
0.0406	-0.1441291
0.0407	-0.1948315
0.0408	-0.2235126
0.0409	-0.2403377
0.041	-0.2585403
0.0411	-0.3002794
0.0412	-0.3346291
0.0413	-0.3745985
0.0414	-0.415417
0.0415	-0.4735911
0.0416	-0.5231606
0.0417	-0.5418193
0.0418	-0.548766
0.0419	-0.5433087
0.042	-0.5431926
0.0421	-0.523149
0.0422	-0.504575
0.0423	-0.4962628
0.0424	-0.5064712
0.0425	-0.5242165
0.0426	-0.5224971
0.0427	-0.5235032
0.0428	-0.5161529
0.0429	-0.5018888
0.043	-0.4510713
0.0431	-0.3877127
0.0432	-0.3276301
0.0433	-0.2736635
0.0434	-0.2234618
0.0435	-0.1690404
0.0436	-0.137647
0.0437	-0.1095883
0.0438	-0.07764795
0.0439	-0.01462772
0.044	0.05130537
0.0441	0.1164632
0.0442	0.1890271
0.0443	0.2667118
0.0444	0.3357124
0.0445	0.3686436
0.0446	0.3918298
0.0447	0.4052948
0.0448	0.4263218
0.0449	0.4343917
0.045	0.4456652
0.0451	0.4734381
0.0452	0.5115877
0.0453	0.5452231
0.0454	0.5530776
0.0455	0.563437
0.0456	0.5627079
0.0457	0.5532258
0.0458	0.5198635
0.0459	0.4823388
0.046	0.4605445
0.0461	0.4447271
0.0462	0.4360811
0.0463	0.413894
0.0464	0.4054465
0.0465	0.3959581
0.0466	0.3704979
0.0467	0.3201582
0.0468	0.2549776
0.0469	0.2012204
0.047	0.1382144
0.0471	0.07843999
0.0472	0.01764462
0.0473	-0.02053278
0.0474	-0.04382632
0.0475	-0.07368356
0.0476	-0.1111262
0.0477	-0.1593321
0.0478	-0.198347
0.0479	-0.256451
0.048	-0.3217034
0.0481	-0.3814342
0.0482	-0.4196404
0.0483	-0.4387195
0.0484	-0.4591124
0.0485	-0.4655594
0.0486	-0.467507
0.0487	-0.4573352
0.0488	-0.4624488
0.0489	-0.4847457
0.049	-0.5083953
0.0491	-0.5276812
0.0492	-0.5378025
0.0493	-0.5544372
0.0494	-0.5496443
0.0495	-0.5251883
0.0496	-0.4829964
0.0497	-0.4437499
0.0498	-0.4111694
0.0499	-0.3750474
0.05	-0.3441983
0.0501	-0.3179729
0.0502	-0.3081425
0.0503	-0.2829843
0.0504	-0.2405232
0.0505	-0.1820243
0.0506	-0.1185415
0.0507	-0.04310543
0.0508	0.04474713
0.0509	0.1200305
0.051	0.1783001
0.0511	0.2137759
0.0512	0.2514727
0.0513	0.2822298
0.0514	0.3097059
0.0515	0.3346339
0.0516	0.3751636
0.0517	0.4296715
0.0518	0.4739459
0.0519	0.5099569
0.052	0.5329413
0.0521	0.5535872
0.0522	0.5510651
0.0523	0.5346546
0.0524	0.5116242
0.0525	0.4975121
0.0526	0.4956223
