X-Data [Hz]	Reference	Accelerometer Type 333B30 (C - Filtered) [g]	Phase [Deg]	Accelerometer Type 333B30 (C - Filtered) [g]	Phase [Deg]	
		003: [05-25-24 15:46]		004: [05-25-24 16:01]	
     140,953	       0,025	   0,0239149	 0,0	   0,0270365	 0,0
     140,982	       0,025	    0,024551	 0,0	   0,0261708	 0,0
     141,012	       0,025	   0,0246997	 0,0	   0,0243932	 0,0
     141,041	       0,025	   0,0251823	 0,0	   0,0249775	 0,0
      141,07	       0,025	   0,0250242	 0,0	   0,0247846	 0,0
       141,1	       0,025	   0,0246033	 0,0	   0,0245137	 0,0
     141,129	       0,025	   0,0265778	 0,0	   0,0245136	 0,0
     141,158	       0,025	    0,024369	 0,0	     0,02535	 0,0
     141,188	       0,025	   0,0250721	 0,0	   0,0247747	 0,0
     141,217	       0,025	   0,0267175	 0,0	   0,0254562	 0,0
     141,246	       0,025	   0,0252929	 0,0	   0,0251942	 0,0
     141,276	       0,025	    0,024654	 0,0	   0,0253341	 0,0
     141,305	       0,025	   0,0264497	 0,0	   0,0265027	 0,0
     141,334	       0,025	   0,0264769	 0,0	   0,0256132	 0,0
     141,364	       0,025	   0,0248187	 0,0	   0,0230518	 0,0
     141,393	       0,025	   0,0265138	 0,0	   0,0273335	 0,0
     141,422	       0,025	   0,0246954	 0,0	   0,0265209	 0,0
     141,452	       0,025	   0,0256646	 0,0	   0,0244267	 0,0
     141,481	       0,025	   0,0264516	 0,0	   0,0239401	 0,0
      141,51	       0,025	   0,0262336	 0,0	   0,0249514	 0,0
      141,54	       0,025	   0,0247714	 0,0	   0,0230538	 0,0
     141,569	       0,025	    0,027164	 0,0	   0,0275099	 0,0
     141,598	       0,025	   0,0236877	 0,0	   0,0239872	 0,0
     141,628	       0,025	   0,0254962	 0,0	   0,0263529	 0,0
     141,657	       0,025	   0,0262628	 0,0	   0,0252791	 0,0
     141,686	       0,025	   0,0235912	 0,0	     0,02417	 0,0
     141,716	       0,025	   0,0253285	 0,0	    0,026275	 0,0
     141,745	       0,025	   0,0276303	 0,0	   0,0244832	 0,0
     141,774	       0,025	   0,0262714	 0,0	    0,022823	 0,0
     141,804	       0,025	   0,0247112	 0,0	   0,0251987	 0,0
     141,833	       0,025	   0,0230683	 0,0	   0,0246804	 0,0
     141,862	       0,025	   0,0245458	 0,0	    0,026136	 0,0
     141,891	       0,025	   0,0248197	 0,0	   0,0243688	 0,0
     141,921	       0,025	   0,0248035	 0,0	   0,0242084	 0,0
      141,95	       0,025	   0,0253646	 0,0	   0,0249949	 0,0
     141,979	       0,025	   0,0243031	 0,0	   0,0235655	 0,0
     142,009	       0,025	   0,0265505	 0,0	   0,0239157	 0,0
     142,038	       0,025	   0,0267977	 0,0	   0,0252411	 0,0
     142,067	       0,025	   0,0243032	 0,0	     0,02489	 0,0
     142,097	       0,025	   0,0265571	 0,0	   0,0250247	 0,0
     142,126	       0,025	   0,0256805	 0,0	   0,0240979	 0,0
     142,155	       0,025	   0,0250621	 0,0	   0,0244902	 0,0
     142,185	       0,025	   0,0232205	 0,0	   0,0242316	 0,0
     142,214	       0,025	   0,0261301	 0,0	   0,0249135	 0,0
     142,243	       0,025	   0,0273938	 0,0	    0,026472	 0,0
     142,273	       0,025	   0,0262232	 0,0	   0,0237761	 0,0
     142,302	       0,025	   0,0244605	 0,0	   0,0236226	 0,0
     142,331	       0,025	   0,0243768	 0,0	   0,0236513	 0,0
     142,361	       0,025	   0,0266983	 0,0	   0,0256705	 0,0
      142,39	       0,025	   0,0235459	 0,0	   0,0254865	 0,0
     142,419	       0,025	   0,0264978	 0,0	   0,0238891	 0,0
     142,449	       0,025	   0,0252807	 0,0	   0,0246515	 0,0
     142,478	       0,025	   0,0257634	 0,0	   0,0244896	 0,0
     142,507	       0,025	   0,0265945	 0,0	   0,0228334	 0,0
     142,537	       0,025	   0,0238907	 0,0	   0,0252666	 0,0
     142,566	       0,025	   0,0263494	 0,0	   0,0236191	 0,0
     142,595	       0,025	    0,024116	 0,0	    0,026236	 0,0
     142,625	       0,025	   0,0243668	 0,0	   0,0247936	 0,0
     142,654	       0,025	   0,0247369	 0,0	   0,0263547	 0,0
     142,683	       0,025	   0,0231979	 0,0	   0,0235019	 0,0
     142,713	       0,025	   0,0261355	 0,0	   0,0267842	 0,0
     142,742	       0,025	    0,024199	 0,0	    0,025102	 0,0
     142,771	       0,025	   0,0258658	 0,0	   0,0246034	 0,0
     142,801	       0,025	   0,0241159	 0,0	   0,0258594	 0,0
      142,83	       0,025	   0,0240447	 0,0	   0,0252463	 0,0
     142,859	       0,025	   0,0264832	 0,0	   0,0241721	 0,0
     142,889	       0,025	   0,0260325	 0,0	   0,0256923	 0,0
     142,918	       0,025	   0,0258457	 0,0	   0,0270659	 0,0
     142,947	       0,025	    0,024391	 0,0	   0,0252694	 0,0
     142,977	       0,025	   0,0235965	 0,0	   0,0245628	 0,0
     143,006	       0,025	   0,0229903	 0,0	   0,0244805	 0,0
     143,035	       0,025	   0,0262766	 0,0	   0,0241834	 0,0
     143,065	       0,025	   0,0258339	 0,0	   0,0245803	 0,0
     143,094	       0,025	   0,0253119	 0,0	   0,0250235	 0,0
     143,123	       0,025	   0,0273022	 0,0	    0,023752	 0,0
     143,152	       0,025	   0,0242041	 0,0	   0,0239542	 0,0
     143,182	       0,025	   0,0250731	 0,0	   0,0266604	 0,0
     143,211	       0,025	   0,0239551	 0,0	   0,0259677	 0,0
      143,24	       0,025	   0,0252028	 0,0	   0,0272107	 0,0
      143,27	       0,025	    0,024922	 0,0	   0,0265134	 0,0
     143,299	       0,025	   0,0238887	 0,0	   0,0243863	 0,0
     143,328	       0,025	   0,0250474	 0,0	   0,0235843	 0,0
     143,358	       0,025	   0,0235742	 0,0	   0,0238093	 0,0
     143,387	       0,025	   0,0234203	 0,0	   0,0247828	 0,0
     143,416	       0,025	   0,0258876	 0,0	   0,0244651	 0,0
     143,446	       0,025	   0,0261131	 0,0	   0,0258014	 0,0
     143,475	       0,025	   0,0269896	 0,0	   0,0240737	 0,0
     143,504	       0,025	   0,0260035	 0,0	   0,0251073	 0,0
     143,534	       0,025	   0,0250302	 0,0	   0,0250988	 0,0
     143,563	       0,025	   0,0238844	 0,0	   0,0265317	 0,0
     143,592	       0,025	   0,0242683	 0,0	   0,0248572	 0,0
     143,622	       0,025	   0,0253096	 0,0	   0,0255454	 0,0
     143,651	       0,025	   0,0233347	 0,0	   0,0237865	 0,0
      143,68	       0,025	   0,0249639	 0,0	   0,0261884	 0,0
      143,71	       0,025	   0,0239619	 0,0	   0,0270374	 0,0
     143,739	       0,025	   0,0224775	 0,0	   0,0232149	 0,0
     143,768	       0,025	   0,0247248	 0,0	   0,0271512	 0,0
     143,798	       0,025	   0,0229988	 0,0	    0,026097	 0,0
     143,827	       0,025	    0,024564	 0,0	   0,0263903	 0,0
     143,856	       0,025	   0,0264933	 0,0	   0,0251733	 0,0
     143,886	       0,025	   0,0262198	 0,0	   0,0250752	 0,0
     143,915	       0,025	   0,0248453	 0,0	    0,025384	 0,0
     143,944	       0,025	   0,0235389	 0,0	   0,0252678	 0,0
     143,974	       0,025	   0,0248177	 0,0	   0,0251466	 0,0
     144,003	       0,025	   0,0262091	 0,0	   0,0233706	 0,0
     144,032	       0,025	   0,0230304	 0,0	   0,0247918	 0,0
     144,062	       0,025	   0,0248955	 0,0	   0,0259002	 0,0
     144,091	       0,025	   0,0261098	 0,0	    0,026188	 0,0
      144,12	       0,025	   0,0263508	 0,0	   0,0243329	 0,0
      144,15	       0,025	   0,0252226	 0,0	   0,0247744	 0,0
     144,179	       0,025	   0,0240084	 0,0	    0,023302	 0,0
     144,208	       0,025	   0,0256915	 0,0	    0,025957	 0,0
     144,238	       0,025	   0,0245381	 0,0	   0,0265709	 0,0
     144,267	       0,025	   0,0266733	 0,0	   0,0257539	 0,0
     144,296	       0,025	   0,0249898	 0,0	   0,0258566	 0,0
     144,326	       0,025	   0,0262131	 0,0	   0,0263161	 0,0
     144,355	       0,025	   0,0243772	 0,0	    0,025923	 0,0
     144,384	       0,025	   0,0256237	 0,0	   0,0257524	 0,0
     144,413	       0,025	   0,0248797	 0,0	   0,0263343	 0,0
     144,443	       0,025	   0,0256199	 0,0	   0,0253769	 0,0
     144,472	       0,025	   0,0250385	 0,0	   0,0240943	 0,0
     144,501	       0,025	   0,0248055	 0,0	   0,0241174	 0,0
     144,531	       0,025	   0,0237844	 0,0	   0,0244551	 0,0
      144,56	       0,025	    0,025522	 0,0	   0,0263514	 0,0
     144,589	       0,025	    0,023382	 0,0	   0,0233307	 0,0
     144,619	       0,025	   0,0247554	 0,0	   0,0234856	 0,0
     144,648	       0,025	   0,0249406	 0,0	   0,0255168	 0,0
     144,677	       0,025	   0,0268126	 0,0	   0,0257723	 0,0
     144,707	       0,025	    0,027354	 0,0	   0,0263026	 0,0
     144,736	       0,025	    0,024883	 0,0	    0,023713	 0,0
     144,765	       0,025	   0,0259532	 0,0	   0,0238543	 0,0
