X-Data [Hz]	Piezo (M - Filtered) [mV]	Phase [Deg]	
	002: [07-05-24 16:31]	
     41,5139	   0,0484253	-98,7
     41,5161	    0,049155	-108,4
     41,5183	   0,0471197	-115,4
     41,5205	   0,0471559	-97,4
     41,5227	    0,051586	-112,6
     41,5249	   0,0487945	-110,5
     41,5271	   0,0463057	-98,8
     41,5293	   0,0500361	-111,5
     41,5315	   0,0492483	-101,1
     41,5337	   0,0462699	-102,5
     41,5359	   0,0472484	-100,2
     41,5381	   0,0501346	-111,8
     41,5403	   0,0516858	-108,9
     41,5425	   0,0470931	-102,8
     41,5447	   0,0492347	-111,5
     41,5469	   0,0493467	-102,6
     41,5491	   0,0495919	-103,1
     41,5513	   0,0501294	-117,3
     41,5535	   0,0468913	-101,2
     41,5557	   0,0503906	-104,4
     41,5579	    0,051119	-104,9
     41,5601	   0,0507813	-116,8
     41,5623	   0,0479846	-104,2
     41,5645	   0,0507696	-106,1
     41,5667	   0,0512949	-109,9
     41,5689	   0,0492328	-100,4
     41,5711	   0,0518229	-112,5
     41,5733	   0,0511691	-106,9
     41,5755	   0,0509602	-102,2
     41,5777	   0,0521468	-116,4
     41,5799	   0,0518238	-102,7
     41,5821	   0,0505222	-108,8
     41,5843	   0,0498131	-100,2
     41,5865	   0,0528695	-111,7
     41,5887	   0,0519893	-105,0
     41,5909	    0,050011	-105,4
     41,5931	    0,051881	-111,9
     41,5953	   0,0495006	-94,9
     41,5975	   0,0535688	-112,3
     41,5997	   0,0528716	-105,5
     41,6019	   0,0538189	-113,2
     41,6041	   0,0508562	-101,4
     41,6063	     0,05279	-109,8
     41,6085	   0,0516418	-109,1
     41,6107	   0,0493078	-97,4
     41,6129	   0,0528707	-114,2
     41,6151	   0,0527017	-100,2
     41,6173	   0,0517849	-108,2
     41,6195	   0,0529112	-107,5
     41,6217	   0,0519296	-102,6
     41,6239	   0,0546454	-112,6
     41,6261	   0,0506078	-107,1
     41,6283	   0,0514064	-100,6
     41,6305	   0,0538487	-105,2
     41,6327	    0,052849	-104,1
     41,6349	    0,053724	-104,9
     41,6371	   0,0532701	-105,3
     41,6393	   0,0540738	-104,9
     41,6415	   0,0522656	-103,7
     41,6437	   0,0540339	-111,0
     41,6459	   0,0529152	-101,4
     41,6481	   0,0547101	-108,9
     41,6503	   0,0525401	-106,9
     41,6525	   0,0530732	-97,0
     41,6547	   0,0542195	-113,3
     41,6569	    0,054296	-100,3
     41,6591	   0,0549764	-107,7
     41,6613	   0,0563485	-107,7
     41,6635	   0,0547701	-103,8
     41,6657	   0,0540888	-110,1
     41,6679	   0,0546308	-100,8
     41,6701	   0,0568089	-113,3
     41,6723	   0,0553679	-103,4
     41,6745	   0,0569474	-107,6
     41,6767	   0,0541163	-102,4
     41,6789	   0,0558044	-108,4
     41,6811	   0,0554726	-106,1
     41,6833	   0,0555072	-106,2
     41,6855	   0,0573427	-112,7
     41,6877	   0,0566877	-95,1
     41,6899	   0,0573517	-110,3
     41,6921	   0,0558504	-108,3
     41,6943	   0,0576213	-113,4
     41,6965	   0,0548446	-99,4
     41,6987	   0,0568565	-105,3
     41,7009	   0,0592419	-108,6
     41,7031	   0,0575845	-97,3
     41,7053	   0,0589718	-110,3
     41,7075	   0,0568791	-98,9
     41,7097	   0,0560413	-108,4
     41,7119	    0,056297	-101,7
     41,7141	   0,0589988	-101,5
     41,7163	   0,0570548	-100,4
     41,7185	   0,0585038	-108,8
     41,7207	    0,057277	-109,6
     41,7229	   0,0563913	-97,3
     41,7251	   0,0609446	-107,7
     41,7273	   0,0593808	-100,0
     41,7295	   0,0580598	-112,3
     41,7317	   0,0575709	-106,4
     41,7339	   0,0569784	-98,4
     41,7361	   0,0575977	-102,5
     41,7383	   0,0597721	-110,5
     41,7405	   0,0597507	-100,3
     41,7427	   0,0608166	-102,4
     41,7449	   0,0618331	-113,5
     41,7471	   0,0579129	-99,5
     41,7493	   0,0561763	-111,0
     41,7515	   0,0596215	-101,4
     41,7537	   0,0590833	-101,0
     41,7559	   0,0607938	-107,5
     41,7581	   0,0610202	-102,4
     41,7603	   0,0614501	-103,6
     41,7625	   0,0613433	-105,7
     41,7647	   0,0598932	-108,9
     41,7669	   0,0594047	-101,1
     41,7691	   0,0619559	-108,3
     41,7713	    0,060632	-95,6
     41,7735	   0,0623701	-109,6
     41,7757	   0,0620044	-105,9
     41,7779	   0,0605285	-101,7
     41,7801	   0,0629087	-108,6
     41,7823	   0,0608923	-101,6
     41,7845	   0,0625222	-108,1
     41,7867	   0,0622688	-96,7
     41,7889	   0,0623989	-109,5
     41,7911	   0,0628699	-101,8
     41,7933	   0,0622888	-102,8
     41,7955	   0,0625141	-103,9
     41,7977	   0,0651244	-109,4
     41,7999	    0,064408	-99,5
     41,8021	   0,0615819	-106,9
     41,8043	     0,06232	-101,6
     41,8064	   0,0637273	-104,6
     41,8087	   0,0638329	-103,1
     41,8109	   0,0620792	-96,7
      41,813	   0,0675572	-108,0
     41,8153	   0,0648933	-98,0
     41,8174	   0,0635501	-108,4
     41,8196	   0,0647226	-96,4
     41,8218	   0,0648459	-109,5
      41,824	     0,06301	-100,2
     41,8262	   0,0632547	-97,9
     41,8284	    0,062852	-98,2
     41,8306	   0,0641877	-112,4
     41,8328	   0,0636854	-101,1
      41,835	   0,0649828	-102,4
     41,8372	   0,0659795	-105,3
     41,8394	    0,066707	-100,1
     41,8416	    0,066173	-106,0
     41,8438	   0,0641779	-97,8
      41,846	   0,0663123	-107,9
     41,8482	   0,0676044	-95,0
     41,8504	    0,069388	-105,4
     41,8526	   0,0672856	-105,3
     41,8548	   0,0666827	-110,5
      41,857	   0,0664781	-98,2
     41,8592	   0,0662853	-105,5
     41,8614	   0,0675582	-95,9
     41,8636	   0,0697709	-108,9
     41,8658	   0,0676092	-99,4
      41,868	   0,0674268	-100,7
     41,8702	   0,0688146	-105,7
     41,8724	    0,068986	-99,1
     41,8746	    0,068878	-107,4
     41,8768	   0,0684672	-100,5
      41,879	   0,0696704	-104,4
     41,8812	   0,0680498	-105,3
     41,8834	   0,0705066	-103,3
     41,8856	   0,0669739	-100,3
     41,8878	   0,0714729	-111,1
       41,89	   0,0691011	-95,0
     41,8922	   0,0684779	-106,5
     41,8944	    0,067373	-96,2
     41,8966	   0,0709528	-106,3
     41,8988	   0,0707193	-99,0
      41,901	   0,0725527	-102,2
     41,9032	   0,0724405	-107,4
     41,9054	   0,0721727	-101,0
     41,9076	   0,0717416	-101,7
     41,9098	   0,0703364	-96,8
      41,912	   0,0700048	-98,7
     41,9142	   0,0726976	-107,1
     41,9164	   0,0719416	-99,0
     41,9186	   0,0732251	-102,1
     41,9208	   0,0746023	-102,0
      41,923	   0,0730033	-102,1
     41,9252	   0,0724601	-101,2
     41,9274	   0,0717833	-97,7
     41,9296	   0,0741334	-107,0
     41,9318	   0,0737991	-97,3
      41,934	   0,0744264	-107,3
     41,9362	   0,0746618	-101,1
     41,9384	   0,0754552	-104,1
     41,9406	   0,0750546	-99,9
     41,9428	   0,0757119	-101,3
      41,945	    0,072888	-95,4
     41,9472	    0,074741	-108,5
     41,9494	   0,0743012	-95,5
     41,9516	   0,0761389	-102,3
     41,9538	    0,075727	-96,4
      41,956	   0,0761326	-109,4
     41,9582	   0,0753156	-98,2
     41,9604	   0,0764155	-101,5
     41,9626	   0,0760829	-92,6
     41,9648	   0,0788502	-104,1
      41,967	    0,078953	-98,2
     41,9692	   0,0799119	-103,4
     41,9714	   0,0769701	-97,4
     41,9736	   0,0781815	-106,1
     41,9758	   0,0794261	-99,9
      41,978	   0,0787752	-100,4
     41,9802	   0,0778369	-100,6
     41,9824	   0,0782403	-101,6
     41,9846	   0,0798859	-102,1
     41,9868	   0,0782975	-98,5
      41,989	   0,0804448	-107,1
     41,9912	   0,0797429	-99,2
     41,9934	   0,0806267	-102,8
     41,9956	   0,0818138	-105,6
     41,9978	   0,0801418	-94,0
          42	   0,0816847	-106,5
     42,0022	   0,0817095	-99,7
     42,0044	   0,0812935	-99,0
     42,0066	   0,0823973	-97,6
     42,0088	   0,0812059	-100,3
      42,011	   0,0819825	-102,9
     42,0132	   0,0839046	-99,6
     42,0154	   0,0825524	-98,2
     42,0176	   0,0835261	-98,6
     42,0198	   0,0855845	-102,4
      42,022	    0,085138	-106,8
     42,0242	   0,0829771	-95,6
     42,0264	   0,0837591	-103,9
     42,0286	   0,0837579	-95,4
     42,0308	   0,0851859	-106,0
      42,033	   0,0845171	-95,8
     42,0352	    0,086076	-99,9
     42,0374	   0,0848471	-101,1
     42,0396	   0,0861799	-104,4
     42,0418	   0,0846236	-95,2
      42,044	   0,0852967	-97,9
     42,0462	   0,0854092	-98,7
     42,0484	   0,0867158	-97,6
     42,0506	   0,0881096	-99,5
     42,0528	   0,0890421	-102,3
      42,055	   0,0859095	-92,9
     42,0572	   0,0905717	-105,3
     42,0594	   0,0868676	-93,2
     42,0616	   0,0909548	-100,7
     42,0638	   0,0887945	-94,1
      42,066	   0,0898805	-103,5
     42,0682	   0,0878888	-92,5
     42,0704	   0,0902716	-102,9
     42,0726	   0,0887193	-93,4
     42,0748	   0,0927232	-102,4
      42,077	    0,090462	-99,8
     42,0792	   0,0899883	-102,3
     42,0814	    0,089419	-95,9
     42,0836	   0,0918084	-95,3
     42,0858	    0,090592	-95,3
      42,088	   0,0922586	-105,9
     42,0902	   0,0911491	-90,5
     42,0924	   0,0957182	-100,3
     42,0946	   0,0927405	-90,9
     42,0968	   0,0949388	-104,1
      42,099	   0,0930281	-103,1
     42,1012	   0,0938036	-93,5
     42,1034	   0,0924335	-93,7
     42,1056	   0,0952078	-99,9
     42,1078	   0,0945928	-96,4
       42,11	   0,0978798	-97,1
     42,1122	   0,0956614	-93,3
     42,1144	   0,0953731	-102,1
     42,1166	   0,0966519	-100,2
     42,1188	   0,0956919	-95,9
      42,121	   0,0967921	-100,1
     42,1232	     0,09526	-90,1
     42,1254	   0,0977374	-101,2
     42,1276	   0,0986826	-94,1
     42,1298	   0,0990392	-98,5
      42,132	   0,0992652	-88,6
     42,1342	    0,100002	-100,9
     42,1364	    0,099818	-97,0
     42,1386	    0,102105	-99,4
     42,1408	   0,0995263	-92,0
      42,143	    0,101888	-98,5
     42,1452	    0,100153	-93,8
     42,1474	     0,10194	-95,8
     42,1496	    0,104393	-100,1
     42,1518	    0,103019	-99,2
      42,154	    0,100826	-92,4
     42,1562	    0,102746	-98,2
     42,1584	    0,101336	-93,9
     42,1606	    0,101854	-93,9
     42,1628	    0,104044	-97,3
      42,165	    0,103472	-88,3
     42,1672	    0,105867	-97,3
     42,1694	     0,10541	-92,8
     42,1716	    0,107183	-99,7
     42,1738	    0,105477	-90,2
      42,176	    0,108346	-97,3
     42,1782	    0,104302	-93,5
     42,1804	    0,108122	-99,5
     42,1826	    0,105291	-88,6
     42,1847	    0,108679	-95,5
      42,187	    0,109313	-90,0
     42,1891	    0,112511	-99,4
     42,1913	    0,109144	-92,4
     42,1936	    0,110249	-95,7
     42,1957	    0,110348	-97,1
     42,1979	    0,110381	-87,9
     42,2001	    0,112397	-97,3
     42,2023	      0,1104	-89,7
     42,2045	    0,113634	-97,3
     42,2067	    0,112814	-86,0
     42,2089	    0,115912	-96,2
     42,2111	     0,11418	-90,3
     42,2133	    0,117623	-96,6
     42,2155	    0,114895	-90,1
     42,2177	    0,117385	-93,4
     42,2199	    0,116062	-91,8
     42,2221	    0,118224	-96,8
     42,2243	    0,115174	-89,4
     42,2265	    0,114868	-87,8
     42,2287	    0,120095	-96,3
     42,2309	    0,117256	-87,9
     42,2331	    0,118097	-98,0
     42,2353	    0,118749	-92,4
     42,2375	     0,12145	-94,3
     42,2397	    0,118582	-86,8
     42,2419	    0,120277	-91,4
     42,2441	    0,121689	-90,4
     42,2463	     0,12277	-92,3
     42,2485	    0,122365	-90,6
     42,2507	    0,123394	-88,5
     42,2529	    0,125076	-94,5
     42,2551	    0,123764	-84,3
     42,2573	    0,127177	-94,2
     42,2595	    0,125341	-89,5
     42,2617	    0,126117	-90,5
     42,2639	    0,124112	-86,9
     42,2661	    0,126584	-89,1
     42,2683	    0,128744	-87,9
     42,2705	    0,126704	-90,8
     42,2727	    0,125198	-87,3
     42,2749	    0,129429	-87,8
     42,2771	    0,129028	-88,9
     42,2793	    0,130518	-84,9
     42,2815	    0,133299	-92,0
     42,2837	    0,129932	-89,4
     42,2859	    0,131618	-86,4
     42,2881	     0,13147	-86,8
     42,2903	    0,132949	-83,8
     42,2925	    0,134652	-92,0
     42,2947	    0,135084	-84,2
     42,2969	    0,134854	-90,2
     42,2991	     0,13514	-80,2
     42,3013	     0,13767	-91,3
     42,3035	    0,136762	-85,0
     42,3057	    0,139658	-93,5
     42,3079	    0,136557	-80,6
     42,3101	    0,138672	-82,9
     42,3123	    0,139811	-90,6
     42,3145	    0,140139	-81,8
     42,3167	    0,143678	-90,0
     42,3189	    0,142763	-82,6
     42,3211	    0,143568	-86,5
     42,3233	    0,140751	-81,7
     42,3255	    0,141991	-85,7
     42,3277	     0,14261	-84,9
     42,3299	    0,145575	-83,1
     42,3321	    0,146154	-89,1
     42,3343	    0,146151	-79,8
     42,3365	    0,147724	-88,2
     42,3387	    0,149993	-78,1
     42,3409	    0,149452	-84,0
     42,3431	    0,151307	-85,0
     42,3453	    0,149481	-82,0
     42,3475	    0,151982	-84,7
     42,3497	    0,149355	-76,5
     42,3519	    0,152485	-89,8
     42,3541	     0,15291	-80,7
     42,3563	     0,15524	-87,8
     42,3585	    0,155019	-76,6
     42,3607	    0,156265	-78,0
     42,3629	    0,157659	-85,1
     42,3651	    0,156801	-74,4
     42,3673	     0,16068	-83,8
     42,3695	    0,159902	-81,5
     42,3717	    0,163255	-81,2
     42,3739	    0,160369	-81,2
     42,3761	    0,162362	-73,9
     42,3783	    0,162817	-84,6
     42,3805	    0,161215	-75,7
     42,3827	    0,165095	-83,6
     42,3849	    0,165655	-74,4
     42,3871	    0,166645	-83,4
     42,3893	    0,166298	-73,1
     42,3915	    0,167737	-80,8
     42,3937	    0,168391	-75,5
     42,3959	    0,169072	-75,1
     42,3981	    0,173581	-83,3
     42,4003	     0,17063	-73,0
     42,4025	    0,175603	-75,6
     42,4047	    0,174639	-78,3
     42,4069	    0,175365	-78,1
     42,4091	    0,175065	-80,2
     42,4113	    0,175334	-73,3
     42,4135	    0,176459	-77,6
     42,4157	    0,178223	-70,9
     42,4179	    0,179973	-71,3
     42,4201	    0,179373	-77,7
     42,4223	    0,182537	-71,1
     42,4245	    0,181902	-75,7
     42,4267	    0,182376	-68,0
     42,4289	    0,185354	-74,9
     42,4311	    0,183284	-67,9
     42,4333	    0,187592	-75,2
     42,4355	    0,186014	-73,0
     42,4377	    0,188495	-71,4
     42,4399	    0,188446	-71,0
     42,4421	     0,18893	-68,7
     42,4443	     0,19238	-70,0
     42,4465	    0,191791	-71,7
     42,4487	    0,193487	-69,3
     42,4509	     0,19679	-76,2
     42,4531	    0,195687	-66,9
     42,4553	    0,196514	-74,5
     42,4575	    0,195542	-62,5
     42,4597	         0,2	-72,0
     42,4619	    0,200092	-66,6
     42,4641	     0,19982	-65,1
     42,4663	    0,202643	-73,0
     42,4685	    0,202502	-70,6
     42,4707	    0,203945	-63,6
     42,4729	    0,204254	-66,6
     42,4751	    0,206968	-59,9
     42,4773	     0,21156	-69,5
     42,4795	     0,21136	-62,1
     42,4817	    0,214142	-67,7
     42,4839	    0,211238	-62,0
     42,4861	    0,214475	-63,5
     42,4883	    0,215428	-63,6
     42,4905	    0,213444	-59,0
     42,4927	    0,215476	-60,9
     42,4949	    0,216393	-63,0
     42,4971	    0,220059	-59,3
     42,4993	    0,221093	-63,6
     42,5015	    0,218361	-55,4
     42,5037	    0,221281	-60,0
     42,5059	    0,220211	-57,9
     42,5081	    0,223474	-63,7
     42,5103	    0,223292	-60,2
     42,5125	    0,224028	-57,7
     42,5147	    0,225409	-61,5
     42,5169	     0,22512	-52,3
     42,5191	    0,229004	-54,4
     42,5213	    0,227169	-56,2
     42,5235	    0,228956	-58,2
     42,5257	     0,23028	-54,9
     42,5279	     0,23175	-53,4
     42,5301	    0,234082	-53,7
     42,5323	    0,232658	-55,5
     42,5345	    0,232948	-50,5
     42,5367	    0,235976	-53,5
     42,5389	    0,236142	-52,8
     42,5411	    0,237835	-57,4
     42,5433	    0,238828	-49,5
     42,5455	    0,240007	-47,5
     42,5477	    0,242878	-52,7
     42,5499	    0,240307	-48,5
     42,5521	    0,242072	-45,0
     42,5543	    0,242936	-50,2
     42,5564	    0,244209	-46,2
     42,5587	    0,246359	-52,4
     42,5609	    0,244296	-42,8
      42,563	     0,24601	-44,4
     42,5653	    0,248161	-48,6
     42,5674	    0,248764	-40,4
     42,5696	     0,25033	-42,6
     42,5718	    0,250248	-42,7
      42,574	    0,252652	-42,3
     42,5762	    0,253302	-47,2
     42,5784	    0,251875	-38,1
     42,5806	    0,254429	-43,1
     42,5828	    0,252286	-39,7
      42,585	    0,257199	-39,2
     42,5872	    0,257206	-43,6
     42,5894	    0,259302	-39,2
     42,5916	    0,258892	-43,5
     42,5938	    0,258251	-46,2
      42,596	     0,25846	-39,5
     42,5982	    0,260244	-39,3
     42,6004	    0,258179	-39,2
     42,6026	    0,260147	-33,1
     42,6048	    0,260482	-39,6
      42,607	    0,260628	-30,2
     42,6092	    0,259933	-40,6
     42,6114	    0,257365	-33,7
     42,6136	    0,260304	-32,7
     42,6158	    0,262846	-35,2
      42,618	    0,260066	-34,9
     42,6202	    0,262735	-31,6
     42,6224	    0,264331	-31,2
     42,6246	    0,263973	-25,7
     42,6268	    0,264589	-34,9
      42,629	    0,263505	-31,0
     42,6312	    0,266534	-33,0
     42,6334	     0,26598	-28,5
     42,6356	    0,266279	-23,3
     42,6378	     0,26554	-29,8
       42,64	    0,264391	-23,7
     42,6422	    0,263525	-22,5
     42,6444	    0,265594	-30,7
     42,6466	    0,262964	-27,3
     42,6488	    0,265503	-24,5
      42,651	    0,263397	-25,3
     42,6532	    0,264575	-18,8
     42,6554	    0,265682	-26,9
     42,6576	    0,263452	-21,9
     42,6598	    0,264062	-17,9
      42,662	    0,265911	-25,2
     42,6642	    0,266283	-21,6
     42,6664	     0,26692	-19,2
     42,6686	    0,262626	-26,0
     42,6708	     0,26356	-20,6
      42,673	    0,265547	-17,6
     42,6752	    0,262486	-19,5
     42,6774	    0,262226	-13,2
     42,6796	    0,262845	-18,5
     42,6818	    0,261175	-15,7
      42,684	    0,264683	-17,9
     42,6862	    0,260716	-18,2
     42,6884	    0,260875	-15,8
     42,6906	     0,26035	-17,9
     42,6928	    0,259044	-19,2
      42,695	    0,258616	-11,9
     42,6972	    0,260007	-13,8
     42,6994	    0,257709	-14,3
     42,7016	    0,259338	-8,0
     42,7038	      0,2588	-16,7
      42,706	    0,257045	-10,8
     42,7082	    0,257165	-15,0
     42,7104	    0,255368	-12,8
     42,7126	    0,257003	-10,7
     42,7148	    0,254932	-15,3
      42,717	     0,25331	-6,4
     42,7192	    0,254693	-6,1
     42,7214	     0,25395	-9,6
     42,7236	    0,253138	-6,3
     42,7258	    0,253375	-10,7
      42,728	    0,252026	-13,9
     42,7302	    0,249935	-8,5
     42,7324	    0,250879	-8,8
     42,7346	    0,248397	-7,1
     42,7368	    0,250971	-0,3
      42,739	    0,248088	-8,1
     42,7412	    0,246859	-1,2
     42,7434	    0,247019	 1,6
     42,7456	    0,244708	-8,0
     42,7478	    0,243836	-4,0
       42,75	    0,245534	-4,1
     42,7522	    0,244274	-6,5
     42,7544	    0,243344	-1,4
     42,7566	    0,241696	-2,5
     42,7588	    0,239449	-1,4
      42,761	    0,241218	 1,3
     42,7632	     0,23943	-2,6
     42,7654	    0,239966	-0,2
     42,7676	    0,239079	 3,8
     42,7698	    0,240216	 0,4
      42,772	    0,237266	-2,6
     42,7742	    0,239447	 0,6
     42,7764	    0,237138	-5,1
     42,7786	    0,235343	 3,2
     42,7808	    0,235554	 1,7
      42,783	    0,232961	 2,2
     42,7852	    0,234261	 4,1
     42,7874	    0,233348	 4,8
     42,7896	    0,230635	 0,9
     42,7918	    0,229813	 3,6
      42,794	    0,230272	 3,1
     42,7962	    0,227698	 1,1
     42,7984	    0,229955	 5,3
     42,8006	    0,225857	 1,4
     42,8028	    0,225342	 8,3
      42,805	    0,225615	 5,9
     42,8072	     0,22362	 5,5
     42,8094	    0,221711	 4,1
     42,8116	    0,223933	 9,1
     42,8138	    0,223912	 6,6
      42,816	    0,220689	 8,7
     42,8182	    0,222613	 8,7
     42,8204	    0,219053	 2,4
     42,8226	    0,218992	 9,4
     42,8248	    0,218803	 2,6
      42,827	    0,215811	 4,4
     42,8292	    0,213033	10,8
     42,8314	    0,213013	 7,8
     42,8336	    0,210195	12,3
     42,8358	    0,213667	14,0
      42,838	    0,213496	13,0
     42,8402	      0,2124	 8,7
     42,8424	     0,21303	14,3
     42,8446	     0,21436	 9,3
     42,8468	    0,211628	 7,2
      42,849	      0,2101	13,2
     42,8512	    0,210569	 8,0
     42,8534	    0,207869	12,3
     42,8556	    0,206709	15,3
     42,8578	    0,206148	12,2
       42,86	    0,205102	15,3
     42,8622	    0,205767	17,1
     42,8644	    0,203902	11,0
     42,8666	    0,202575	12,5
     42,8688	    0,203361	16,0
      42,871	    0,202394	15,1
     42,8732	    0,200528	13,2
     42,8754	    0,201148	19,5
     42,8776	    0,197486	10,3
     42,8798	    0,196151	13,7
      42,882	    0,198121	13,5
     42,8842	    0,195834	14,2
     42,8864	    0,195705	16,7
     42,8886	     0,19437	15,9
     42,8908	    0,193404	13,5
      42,893	    0,191495	14,1
     42,8952	    0,190526	20,7
     42,8974	    0,190311	16,6
     42,8996	    0,190762	17,4
     42,9018	    0,192129	22,1
      42,904	    0,189628	14,7
     42,9062	     0,18903	16,2
     42,9084	    0,189736	18,2
     42,9106	    0,187126	13,0
     42,9128	    0,188571	18,5
      42,915	    0,187292	18,0
     42,9172	     0,18512	14,2
     42,9194	    0,184219	15,3
     42,9216	    0,184807	24,5
     42,9238	    0,182659	18,3
      42,926	    0,181083	16,6
     42,9282	    0,180438	23,5
     42,9304	    0,180948	21,4
     42,9326	    0,179789	17,5
     42,9347	    0,180102	24,5
      42,937	    0,180068	15,5
     42,9391	     0,17958	18,7
     42,9413	     0,17945	23,3
     42,9436	    0,176727	13,7
     42,9457	    0,175907	21,5
     42,9479	    0,174978	23,8
     42,9501	    0,172281	20,6
     42,9523	    0,172772	19,5
     42,9545	    0,171171	25,3
     42,9567	    0,172323	21,3
     42,9589	    0,170942	20,7
     42,9611	     0,17198	26,3
     42,9633	    0,171641	24,6
     42,9655	    0,169381	26,3
     42,9677	    0,171436	29,3
     42,9699	     0,16931	18,4
     42,9721	    0,168189	22,0
     42,9743	    0,168501	24,6
     42,9765	     0,16612	26,2
     42,9787	    0,165536	18,1
     42,9809	    0,163372	23,1
     42,9831	    0,164822	25,1
     42,9853	    0,162005	19,6
     42,9875	    0,163156	26,9
     42,9897	    0,161796	27,3
     42,9919	    0,161133	27,6
     42,9941	    0,159142	29,6
     42,9963	     0,16149	24,1
     42,9985	    0,160297	26,9
     43,0007	    0,158146	25,9
     43,0029	     0,15682	32,0
     43,0051	    0,157892	28,2
     43,0073	    0,155962	27,3
     43,0095	    0,157712	28,4
     43,0117	     0,15901	29,7
     43,0139	    0,154678	25,1
     43,0161	    0,155276	27,6
     43,0183	    0,157311	28,7
     43,0205	    0,153692	24,9
